precision,recall,f1,datetime,type_of_algo
0.53±0.12,0.14±0.06,0.22±0.09,2021-10-26T17:13:59,topology|bayesian|tfidf
0.67±0.38,0.08±0.06,0.13±0.1,2021-10-26T17:16:08,bert|images|features|topology|bayesian|tfidf
0.36±0.07,0.21±0.04,0.26±0.03,2021-10-26T17:16:34,topology|bayesian
0.35±0.12,0.16±0.04,0.22±0.05,2021-10-26T17:25:47,bayesian
0.5±0.17,0.13±0.05,0.2±0.04,2021-10-26T17:26:16,topology
0.32±0.06,0.19±0.06,0.24±0.06,2021-11-10T16:07:46,topology|bayesian
0.18±0.04,0.49±0.04,0.26±0.05,2021-11-10T17:23:37,topology|bayesian
0.2±0.05,0.51±0.04,0.28±0.05,2021-11-10T17:28:14,topology|bayesian|features
0.29±0.07,0.33±0.05,0.3±0.05,2021-11-10T17:29:27,topology|bayesian|features|tfidf
0.35±0.08,0.3±0.04,0.32±0.05,2021-11-25T13:32:13,doc2vec|bayesian|topology|bert
0.22±0.05,0.43±0.06,0.29±0.06,2021-11-25T13:32:36,doc2vec|bayesian|topology
0.35±0.09,0.33±0.05,0.34±0.06,2021-11-25T13:32:51,bert|bayesian|topology
0.12±0.21,0.01±0.02,0.02±0.04,2021-11-26T07:53:33,doc2vec
0.26±0.07,0.2±0.02,0.22±0.03,2021-11-26T07:53:50,bert
0.26±0.07,0.2±0.02,0.22±0.03,2021-11-26T08:38:51,bert
0.23±0.07,0.15±0.04,0.18±0.05,2021-11-26T08:39:13,doc2vec
0.23±0.05,0.43±0.06,0.29±0.06,2021-11-26T08:42:01,doc2vec|bayesian|topology
0.35±0.09,0.33±0.05,0.34±0.06,2021-11-26T08:42:21,bert|bayesian|topology
0.34±0.07,0.32±0.04,0.32±0.04,2021-11-26T08:45:20,bert|bayesian|topology|doc2vec
0.37±0.09,0.31±0.04,0.33±0.05,2021-11-26T10:18:46,bert|bayesian|topology|doc2vec
0.25±0.07,0.33±0.04,0.28±0.05,2021-11-26T10:19:11,bayesian|topology|doc2vec
0.17±0.09,0.12±0.05,0.14±0.06,2021-11-26T10:59:32,doc2vec
0.17±0.08,0.11±0.03,0.13±0.05,2021-11-26T11:39:15,doc2vec
0.34±0.08,0.32±0.05,0.32±0.05,2021-11-26T13:02:54,bayesian|topology|doc2vec|bert
0.31±0.09,0.28±0.06,0.29±0.06,2021-11-26T13:03:06,topology|doc2vec|bert
0.35±0.09,0.33±0.05,0.34±0.06,2021-11-26T13:03:27,topology|bayesian|bert
0.19±0.04,0.54±0.08,0.28±0.04,2021-11-26T13:03:39,topology
0.26±0.07,0.2±0.02,0.22±0.03,2021-11-26T13:04:02,bert
0.28±0.07,0.19±0.02,0.22±0.02,2021-11-26T13:09:53,bert
